ObservationURI,ObservationName,Label,RelatedSampleURI,OtherID,SampleDepth,MeasurementUnits,SiteLocationURI,SiteLocationName,LocalityTerms,County,State,LatDegreeWGS84,LongDegreeWGS84,SRS,LocationUncertaintyStatement,SampleCollectionDate,SampleMeasurementDate,SampleType,SampleShape,SampleDimensionsHeight,SampleDimensionsWidth,SampleDimensionsLength,SampleDimensionsUnits,SampleDensity,UncertaintyDensity,SampleDensityUnits,Laboratory,MeasurementDevice,MeasurementProcedure,MeasurementPressure,MeasurementPressureUnits,SampleTemperature,SampleTemperatureUnits,MeasurementDuration,MeasurementDirection,MeasurementRun,BulkMixingFormula,SaturationFluid,SaturatedSampleConductivity,DrySampleConductivity,AverageThermalConductivity,UncertaintyTC,CorrectionTC,CorrectionDescription,UnitsTC,SpecificHeat,UncertaintySpecificHeat,SpecificHeatUnits,ThermalDiffusivity,UncertaintyThermalDiffusivity,UnitsThermalDiffusivity,GeologicFormationName,GeologicFormationURI,GeologicFormationType,DatumElevation,Elevation,Permeability,UnitsPermeability,Porosity,Notes,MetadataURI,Source
G10-016,Outcrop,G10-016,,,0,meters,,,,Aitkin,MN,46.23,-93.31,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.27,,,,,,,,,,,,,McGrath Gneiss,,Biotite Gneiss,,,,,,,,
GRG-1,Outcrop,GRG-1,,,0,meters,,,,St. Louis,MN,47.58,-92.54,,,,2011,Outcrop,Cylinder,20.84,1.482,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.86,,,,,,,,,,,,,Giants Range Batholith,,Foliated Granite,,,,,,,,
GRG-2,Outcrop,GRG-2,,,0,meters,,,,St. Louis,MN,47.7,-92.65,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.57,,,,,,,,,,,,,Shannon Lake Granite of GRB,,Medium to Coarse Grained Pink Granite,,,,,,,,
GRG-3,Outcrop,GRG-3,,,0,meters,,,,St. Louis,MN,47.7,-92.65,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,,,,,,,,,,,,,,Shannon Lake Granite of GRB,,Weakly Foliated Granodiorite,,,,,,,,
GRG-LTV,Outcrop,GRG-LTV,,,0,meters,,,,St. Louis,MN,47.6,-92.14,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.61,,,,,,,,,,,,,Giants Range Batholith,,Hornblende Granite,,,,,,,,
HB-87-4 723-727,HB-87-4,HB-87-4 723-727,,,723,meters,,,,Becker,MN,47.1,-95.35,,,,2011,Drill Hole,Cylinder,19.7,1.75,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.35,,,,,,,,,,,,,Unnamed,,Monzodiorite,,,,,,,,
HS-1-88 492.3-493.5,HS-1-88,HS-1-88 492.3-493.5,,,492.3,meters,,,,Otter Tail,MN,46.44,-95.45,,,,2011,Drill Hole,Cylinder,16.92,0.631,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.19,,,,,,,,,,,,,Unnamed,,Potassium Metasomatized Granite,,,,,,,,
HS-1-88 494.5-495.5,HS-1-88,HS-1-88 494.5-495.5,,,494.5,meters,,,,Otter Tail,MN,46.44,-95.45,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.19,,,,,,,,,,,,,Unnamed,,Pegmatitic Granite,,,,,,,,
ID-1,Outcrop,ID-1,,,0,meters,,,,St. Louis,MN,47.7,-92.63,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.63,,,,,,,,,,,,,Iddington Pluton,,Monzodiorite,,,,,,,,
J-1 470-472,J-1,J-1 470-472,,,470,meters,,,,Roseau,MN,48.89,-95.76,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.54,,,,,,,,,,,,,Roseau River Batholith,,Gneissic Tonalite,,,,,,,,
KEX 05L022 1046.2-1048.2,KEX 05L022,KEX 05L022 1046.2-1048.2,,,1046.2,meters,,,,Carlton,MN,46.58,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.19,,,,,,,,,,,,,Tamarack Intrusion,,Tamarack int = biotitic norite,,,,,,,,
KEX 05L022 1093.5-1095.5,KEX 05L022,KEX 05L022 1093.5-1095.5,,,1093.5,meters,,,,Carlton,MN,46.58,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.5,,,,,,,,,,,,,Tamarack Intrusion,,Tamarack int = gabbro,,,,,,,,
KEX 05L022 1186.6-1188.6,KEX 05L022,KEX 05L022 1186.6-1188.6,,,1186.6,meters,,,,Carlton,MN,46.58,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.37,,,,,,,,,,,,,Tamarack Intrusion,,Tamarack int = Monzogabbro,,,,,,,,
KEX 05L022 1255.5-1257.5,KEX 05L022,KEX 05L022 1255.5-1257.5,,,1255.5,meters,,,,Carlton,MN,46.58,-93.04,,,,2011,Drill Hole,Cylinder,25.44,2.2,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.18,,,,,,,,,,,,,Tamarack Intrusion,,Tamarack int = Monzogabbro,,,,,,,,
KEX 05L022 1263-1265,KEX 05L022,KEX 05L022 1263-1265,,,1263,meters,,,,Carlton,MN,46.58,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.14,,,,,,,,,,,,,Tamarack Intrusion,,Tamarack int = Monzogabbro w/20% granophyre,,,,,,,,
KEX 05L022 263-265,KEX 05L022,KEX 05L022 263-265,,,263,meters,,,,Carlton,MN,46.58,-93.04,,,,2011,Drill Hole,Cylinder,21.38,1.756,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.21,,,,,,,,,,,,,Tamarack Intrusion,,Thomson Fm = well-cleaved argillite,,,,,,,,
KEX 05L022 305-307,KEX 05L022,KEX 05L022 305-307,,,305,meters,,,,Carlton,MN,46.58,-93.04,,,,2011,Drill Hole,Cylinder,21.69,1.844,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.49,,,,,,,,,,,,,Tamarack Intrusion,,Thomson Fm = greywacke and siltstone,,,,,,,,
KEX 05L022 355.5-357.5,KEX 05L022,KEX 05L022 355.5-357.5,,,355.5,meters,,,,Carlton,MN,46.58,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.53,,,,,,,,,,,,,Tamarack Intrusion,,Thomson Fm = massive flow/sill??,,,,,,,,
KEX 05L022 563-565,KEX 05L022,KEX 05L022 563-565,,,563,meters,,,,Carlton,MN,46.58,-93.04,,,,2011,Drill Hole,Cylinder,20.77,1.401,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.92,,,,,,,,,,,,,Tamarack Intrusion,,Thomson Fm = greywacke w/mudstone,,,,,,,,
KEX 05L022 635-637,KEX 05L022,KEX 05L022 635-637,,,635,meters,,,,Carlton,MN,46.58,-93.04,,,,2011,Drill Hole,Cylinder,23.28,2.119,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.37,,,,,,,,,,,,,Tamarack Intrusion,,Thomson Fm = well-cleaved mixed sediments,,,,,,,,
KEX07L038 060,KEX07L038,KEX07L038 060,,,196.85,meters,,,,Carlton,MN,46.61,-93.06,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.45,,,,,,,,,,,,,Tamarack Intrusion,,Feldspathic Peridotite,,,,,,,,
KEX07L038 120,KEX07L038,KEX07L038 120,,,393.7,meters,,,,Carlton,MN,46.61,-93.06,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.46,,,,,,,,,,,,,Tamarack Intrusion,,Granophyre,,,,,,,,
KEX07L038 180,KEX07L038,KEX07L038 180,,,590.55,meters,,,,Carlton,MN,46.61,-93.06,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.97,,,,,,,,,,,,,Tamarack Intrusion,,Epidote Altered Granophyre,,,,,,,,
KEX07L038 240,KEX07L038,KEX07L038 240,,,787.4,meters,,,,Carlton,MN,46.61,-93.06,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.83,,,,,,,,,,,,,Tamarack Intrusion,,Melatroctolite - Serpentinized,,,,,,,,
KEX07L038 300,KEX07L038,KEX07L038 300,,,984.25,meters,,,,Carlton,MN,46.61,-93.06,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.79,,,,,,,,,,,,,Tamarack Intrusion,,Epidote Altered Melatroctolite,,,,,,,,
KEX07L038 360,KEX07L038,KEX07L038 360,,,1181.1,meters,,,,Carlton,MN,46.61,-93.06,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.78,,,,,,,,,,,,,Tamarack Intrusion,,Melatroctolite -  Weakly Serpentinized,,,,,,,,
KEX07L038 420,KEX07L038,KEX07L038 420,,,1377.95,meters,,,,Carlton,MN,46.61,-93.06,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.22,,,,,,,,,,,,,Tamarack Intrusion,,Troctolite,,,,,,,,
KEX07L038 480,KEX07L038,KEX07L038 480,,,1574.8,meters,,,,Carlton,MN,46.61,-93.06,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.92,,,,,,,,,,,,,Tamarack Intrusion,,Peridotite,,,,,,,,
KEX07L038 540,KEX07L038,KEX07L038 540,,,295.28,meters,,,,Carlton,MN,46.61,-93.06,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.81,,,,,,,,,,,,,Tamarack Intrusion,,Peridotite - Serpentinized,,,,,,,,
KEX07L038 600,KEX07L038,KEX07L038 600,,,1968.5,meters,,,,Carlton,MN,46.61,-93.06,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.09,,,,,,,,,,,,,Tamarack Intrusion,,Peridotite - Weakly Serpentinized,,,,,,,,
KEX07L038 660,KEX07L038,KEX07L038 660,,,2165.35,meters,,,,Carlton,MN,46.61,-93.06,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,,,,,,,,,,,,,,Tamarack Intrusion,,Peridotite,,,,,,,,
KEX07L038 720,KEX07L038,KEX07L038 720,,,2362.2,meters,,,,Carlton,MN,46.61,-93.06,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.77,,,,,,,,,,,,,Tamarack Intrusion,,Peridotite,,,,,,,,
KEX07L039 060,KEX07L039,KEX07L039 060,,,196.85,meters,,,,Carlton,MN,46.62,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.72,,,,,,,,,,,,,Tamarack Intrusion,,Thomson Fm = greywacke and siltstone,,,,,,,,
KEX07L039 120,KEX07L039,KEX07L039 120,,,393.7,meters,,,,Carlton,MN,46.62,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.15,,,,,,,,,,,,,Tamarack Intrusion,,Thomson Fm = massive flow/sill??,,,,,,,,
KEX07L039 180,KEX07L039,KEX07L039 180,,,590.55,meters,,,,Carlton,MN,46.62,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.98,,,,,,,,,,,,,Tamarack Intrusion,,Granophyre,,,,,,,,
KEX07L039 240,KEX07L039,KEX07L039 240,,,787.4,meters,,,,Carlton,MN,46.62,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.81,,,,,,,,,,,,,Tamarack Intrusion,,Granophyre,,,,,,,,
KEX07L039 293,KEX07L039,KEX07L039 293,,,961.29,meters,,,,Carlton,MN,46.62,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.51,,,,,,,,,,,,,Tamarack Intrusion,,Fine Grained Melatroctolite,,,,,,,,
KEX07L039 360,KEX07L039,KEX07L039 360,,,1181.1,meters,,,,Carlton,MN,46.62,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.11,,,,,,,,,,,,,Tamarack Intrusion,,Oxide-Bearing Melatroctolite,,,,,,,,
KEX07L039 420,KEX07L039,KEX07L039 420,,,1377.95,meters,,,,Carlton,MN,46.62,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.22,,,,,,,,,,,,,Tamarack Intrusion,,Melatroctolite,,,,,,,,
KEX07L039 480,KEX07L039,KEX07L039 480,,,1574.8,meters,,,,Carlton,MN,46.62,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.66,,,,,,,,,,,,,Tamarack Intrusion,,Feldspathic Peridotite,,,,,,,,
KEX07L039 540,KEX07L039,KEX07L039 540,,,295.28,meters,,,,Carlton,MN,46.62,-93.04,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.59,,,,,,,,,,,,,Tamarack Intrusion,,Feldspathic Peridotite,,,,,,,,
KIB-12 169-170,KIB-12,KIB-12 169-170,,,169,meters,,,,Itasca,MN,47.85,-93.6,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.26,,,,,,,,,,,,,Effie Pluton,,Luecogranodiorite,,,,,,,,
KIB-40 300.5-301.5,KIB-40,KIB-40 300.5-301.5,,,300.5,meters,,,,Itasca,MN,47.63,-93.84,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.17,,,,,,,,,,,,,Bello Lake Pluton,,Monzonite,,,,,,,,
KIB-45 163.5-164.5,KIB-45,KIB-45 163.5-164.5,,,163.5,meters,,,,Koochiching,MN,47.88,-93.87,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.2,,,,,,,,,,,,,Unnamed,,Granodiorite,,,,,,,,
KIB-50 297-298,KIB-50,KIB-50 297-298,,,297,meters,,,,Itasca,MN,47.66,-93.6,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.36,,,,,,,,,,,,,Unnamed,,Granite,,,,,,,,
KIB-51 279-280,KIB-51,KIB-51 279-280,,,279,meters,,,,Itasca,MN,47.66,-94.07,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.08,,,,,,,,,,,,,Unnamed,,Hornblende Quartz Diorite,,,,,,,,
KIB-52 256-257,KIB-52,KIB-52 256-257,,,256,meters,,,,Itasca,MN,47.66,-94.17,,,,2011,Drill Hole,Cylinder,22.3,0.89,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.74,,,,,,,,,,,,,Unnamed,,Hornblende Quartz Diorite,,,,,,,,
KIB-5B 154-155,KIB-5B,KIB-5B 154-155,,,154,meters,,,,Itasca,MN,47.64,-93.33,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.01,,,,,,,,,,,,,Unnamed,,Quartz Diorite,,,,,,,,
KIB-6 42-43.4,KIB-6,KIB-6 42-43.4,,,42,meters,,,,Itasca,MN,47.73,-93.48,,,,2011,Drill Hole,Cylinder,25.9,1.255,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.12,,,,,,,,,,,,,Coon Lake Pluton,,Syenite,,,,,,,,
KIB-68 336.5-338,KIB-68,KIB-68 336.5-338,,,336.5,meters,,,,Beltrami,MN,47.9,-94.7,,,,2011,Drill Hole,Cylinder,16.3,0.77,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.38,,,,,,,,,,,,,Unnamed,,Quartz Diorite,,,,,,,,
KIB-7 218.5-219.5,KIB-7,KIB-7 218.5-219.5,,,218.5,meters,,,,Itasca,MN,47.67,-93.68,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.55,,,,,,,,,,,,,Bello Lake Pluton,,Monzonite,,,,,,,,
KIB-74 256.5-258,KIB-74,KIB-74 256.5-258,,,256.5,meters,,,,Beltrami,MN,47.82,-94.51,,,,2011,Drill Hole,Cylinder,14.26,0.93,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.66,,,,,,,,,,,,,Unnamed,,Granodiorite,,,,,,,,
KIB-77 507-508.3,KIB-77,KIB-77 507-508.3,,,507,meters,,,,Beltrami,MN,47.71,-94.44,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.66,,,,,,,,,,,,,Decker Lake Pluton,,Hornblende Granite,,,,,,,,
KIB-79 252-253.5,KIB-79,KIB-79 252-253.5,,,252,meters,,,,Beltrami,MN,47.7,-94.5,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,,,,,,,,,,,,,,Decker Lake Pluton,,Hornblende Monzodiorite,,,,,,,,
LF-2 226-229,LF-2,LF-2 226-229,,,226,meters,,,,St. Louis,MN,47.92,-93.04,,,,2011,Drill Hole,Cylinder,13.4,1.674,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.18,,,,,,,,,,,,,Linden Pluton,,Foliated Quartz Monzonite,,,,,,,,
LF-5 128-131,LF-5,LF-5 128-131,,,128,meters,,,,St. Louis,MN,47.87,-93.02,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.2,,,,,,,,,,,,,Linden Pluton,,Chloritized Granodiorite,,,,,,,,
LL-1-81-8 586-588.5,LL-81-8,LL-1-81-8 586-588.5,,,586,meters,,,,Meeker,MN,45.11,-94.68,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.05,,,,,,,,,,,,,Rockville Granite,,Diorite,,,,,,,,
LV-1 365-367,LV-1,LV-1 365-367,,,365,meters,,,,Cass,MN,46.89,-94.29,,,,2011,Drill Hole,Cylinder,18.74,0.756,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.79,,,,,,,,,,,,,Unnamed,,Granitic Gneiss,,,,,,,,
LV-12A 81-83,LV-12A,LV-12A 81-83,,,81,meters,,,,Morrison,MN,46.28,-94.64,,,,2011,Drill Hole,Cylinder,18.16,0.962,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.98,,,,,,,,,,,,,Unnamed,,Granite,,,,,,,,
LV-13 135-136,LV-13,LV-13 135-136,,,135,meters,,,,Todd,MN,46.24,-94.8,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.04,,,,,,,,,,,,,Unnamed,,Epidotized Gneissic Leucotonalite,,,,,,,,
LV-14 264-265.5,LV-14,LV-14 264-265.5,,,264,meters,,,,Douglas,MN,45.97,-95.2,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.44,,,,,,,,,,,,,Unnamed,,Biotite Hornblende Tonalite,,,,,,,,
LV-4 251.5-253,LV-4,LV-4 251.5-253,,,251.5,meters,,,,Cass,MN,46.98,-94.16,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.05,,,,,,,,,,,,,Unnamed,,Biotitic Leucogranite,,,,,,,,
MEX-0003 186-187,MEX-0003,MEX-0003 186-187,,,186,meters,,,,Lake,MN,47.81,-91.7,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.92,,,,,,,,,,,,,Duluth Complex,,ATA Series,,,,,,,,
MEX-0003 2361.5-2363,MEX-0003,MEX-0003 2361.5-2363,,,2361.5,meters,,,,Lake,MN,47.81,-91.7,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.4,,,,,,,,,,,,,Duluth Complex,,AN Series = Anorthosite,,,,,,,,
MEX-0003 2368.5-2369.5,MEX-0003,MEX-0003 2368.5-2369.5,,,2368.5,meters,,,,Lake,MN,47.81,-91.7,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.86,,,,,,,,,,,,,Duluth Complex,,AN Series = Gabbro,,,,,,,,
MEX-0003 284-285,MEX-0003,MEX-0003 284-285,,,284,meters,,,,Lake,MN,47.81,-91.7,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.12,,,,,,,,,,,,,Duluth Complex,,Upper Basalt,,,,,,,,
MEX-0003 750.5-752,MEX-0003,MEX-0003 750.5-752,,,750.5,meters,,,,Lake,MN,47.81,-91.7,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.73,,,,,,,,,,,,,Duluth Complex,,Upper Gabbro,,,,,,,,
