ObservationURI,ObservationName,Label,RelatedSampleURI,OtherID,SampleDepth,MeasurementUnits,SiteLocationURI,SiteLocationName,LocalityTerms,County,State,LatDegreeWGS84,LongDegreeWGS84,SRS,LocationUncertaintyStatement,SampleCollectionDate,SampleMeasurementDate,SampleType,SampleShape,SampleDimensionsHeight,SampleDimensionsWidth,SampleDimensionsLength,SampleDimensionsUnits,SampleDensity,UncertaintyDensity,SampleDensityUnits,Laboratory,MeasurementDevice,MeasurementProcedure,MeasurementPressure,MeasurementPressureUnits,SampleTemperature,SampleTemperatureUnits,MeasurementDuration,MeasurementDirection,MeasurementRun,BulkMixingFormula,SaturationFluid,SaturatedSampleConductivity,DrySampleConductivity,AverageThermalConductivity,UncertaintyTC,CorrectionTC,CorrectionDescription,UnitsTC,SpecificHeat,UncertaintySpecificHeat,SpecificHeatUnits,ThermalDiffusivity,UncertaintyThermalDiffusivity,UnitsThermalDiffusivity,GeologicFormationName,GeologicFormationURI,GeologicFormationType,DatumElevation,Elevation,Permeability,UnitsPermeability,Porosity,Notes,MetadataURI,Source
MEX-0102 3580-3580.8,MEX-0102,MEX-0102 3580-3580.8,,,3580,meters,,,,Lake,MN,47.8,-91.74,,,,2011,Drill Hole,Cylinder,18.34,1.764,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.07,,,,,,,,,,,,,Giants Range Batholith,,Giants Range Batholith,,,,,,,,
MEX-0116 2938-2939,MEX-0116,MEX-0116 2938-2939,,,2938,meters,,,,Lake,MN,47.81,-91.73,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.63,,,,,,,,,,,,,Giants Range Batholith,,Giants Range Batholith,,,,,,,,
MEX-0137M 1450-1451,MEX-0137M,MEX-0137M 1450-1451,,,1450,meters,,,,Lake,MN,47.81,-91.74,,,,2011,Drill Hole,Cylinder,15.03,1.865,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.38,,,,,,,,,,,,,Duluth Complex,,BMZ = Melatroctolite,,,,,,,,
MEX-0153 2217-2217.8,MEX-0153,MEX-0153 2217-2217.8,,,2217,meters,,,,Lake,MN,47.81,-91.73,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.96,,,,,,,,,,,,,Giants Range Batholith,,Giants Range Batholith,,,,,,,,
MGS887 278-279.5,MGS887,MGS887 278-279.5,,,278,meters,,,,Marshall,MN,48.49,-97.14,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.88,,,,,,,,,,,,,Unnamed,,Granite,,,,,,,,
MN MORT 1,Outcrop,MN MORT 1,,,0,meters,,,,Renville,MN,44.55,-94.98,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.75,,,,,,,,,,,,,Unnamed,,Gneissic,,,,,,,,
mnely1,Outcrop,mnely1,,,0,meters,,,,St. Louis,MN,47.7,-92.41,,,,2011,Outcrop,Cylinder,18.16,1.297,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.74,,,,,,,,,,,,,Unnamed,,Mafic,,,,,,,,
MNGF1,Outcrop,MNGF1,,,0,meters,,,,Yellow Medicine,MN,44.81,-95.54,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.92,,,,,,,,,,,,,Unnamed,,Granitic,,,,,,,,
MNKBL1,Outcrop,MNKBL1,,,0,meters,,,,St. Louis,MN,48.4,-93.02,,,,2011,Outcrop,Cylinder,22.05,1.615,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.9,,,,,,,,,,,,,Unnamed,,Granitic,,,,,,,,
MNLO1,Outcrop,MNLO1,,,0,meters,,,,Koochiching,MN,48.63,-94.11,,,,2011,Outcrop,Cylinder,20.83,1.548,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.8,,,,,,,,,,,,,Unnamed,,Granitic,,,,,,,,
MNLOTW2,Outcrop,MNLOTW2,,,0,meters,,,,Lake of the Woods,MN,48.96,-95.07,,,,2011,Outcrop,Cylinder,19.12,1.021,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.33,,,,,,,,,,,,,Unnamed,,Granitic,,,,,,,,
MNMV1A,Outcrop,MNMV1A,,,0,meters,,,,Chippewa,MN,44.92,-95.7,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.26,,,,,,,,,,,,,Unnamed,,Gneiss,,,,,,,,
MNMV1B,Outcrop,MNMV1B,,,0,meters,,,,Chippewa,MN,44.92,-95.7,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.26,,,,,,,,,,,,,Unnamed,,Gneiss,,,,,,,,
MNVA2,Outcrop,MNVA2,,,0,meters,,,,St. Louis,MN,47.39,-92.54,,,,2011,Outcrop,Cylinder,19.2,1.43,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.8,,,,,,,,,,,,,Unnamed,,Mafic,,,,,,,,
MNVA3,Outcrop,MNVA3,,,0,meters,,,,St. Louis,MN,47.59,-92.54,,,,2011,Outcrop,Cylinder,12.83,1.472,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.44,,,,,,,,,,,,,Unnamed,,Mafic,,,,,,,,
NB-81-1 724-726,NB-81-1,NB-81-1 724-726,,,724,meters,,,,Meeker,MN,45.09,-94.35,,,,2011,Drill Hole,Cylinder,21.72,1.752,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.99,,,,,,,,,,,,,Rockville Granite,,Granodiorite,,,,,,,,
NCB-2 220.5-224,NCB-2,NCB-2 220.5-224,,,220.5,meters,,,,Koochiching,MN,48.59,-94.11,,,,2011,Drill Hole,Cylinder,22.9,1.937,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.09,,,,,,,,,,,,,Birchdale Intrusion,,Granite,,,,,,,,
NM-3 4364-4367,NM-3,NM-3 4364-4367,,,4364,meters,,,,Lake,MN,47.8,-91.7,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,,,,,,,,,,,,,,Giants Range Batholith,,Hornblende Granite,,,,,,,,
NM-5 5178-5186,NM-5,NM-5 5178-5186,,,5178,meters,,,,Lake,MN,47.79,-91.7,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.44,,,,,,,,,,,,,Giants Range Batholith,,Granodiorite,,,,,,,,
NW-1 201-202,NW-1,NW-1 201-202,,,201,meters,,,,Roseau,MN,48.86,-95.92,,,,2011,Drill Hole,Cylinder,20.18,0.985,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.95,,,,,,,,,,,,,Roseau River Batholith,,Gneissic Tonalite,,,,,,,,
NW-10 287-288.8,NW-10,NW-10 287-288.8,,,287,meters,,,,Marshall,MN,48.27,-95.9,,,,2011,Drill Hole,Cylinder,16.05,0.873,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.7,,,,,,,,,,,,,Unnamed,,Monzodiorite,,,,,,,,
NW-11 320.321.5,NW-11,NW-11 320.321.5,,,320,meters,,,,Marshall,MN,48.3,-96.3,,,,2011,Drill Hole,Cylinder,25.66,1.283,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.71,,,,,,,,,,,,,Unnamed,,Tonalite,,,,,,,,
NW-19 396.5-398,NW-19,NW-19 396.5-398,,,396.5,meters,,,,Pennington,MN,48,-96.29,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.71,,,,,,,,,,,,,Unnamed,,Granodiorite,,,,,,,,
NW-2 302-304,NW-2,NW-2 302-304,,,302,meters,,,,Roseau,MN,48.95,-96.11,,,,2011,Drill Hole,Cylinder,15.38,0.747,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.15,,,,,,,,,,,,,Unnamed,,Granite,,,,,,,,
NW-2 304.5-306,NW-2,NW-2 304.5-306,,,304.5,meters,,,,Roseau,MN,48.95,-96.11,,,,2011,Drill Hole,Cylinder,25.94,1.512,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.41,,,,,,,,,,,,,Unnamed,,Hornblende Biotite Gneiss,,,,,,,,
NW-23 531-532.5,NW-23,NW-23 531-532.5,,,531,meters,,,,Red Lake,MN,47.87,-96.42,,,,2011,Drill Hole,Cylinder,21.84,1.02,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.07,,,,,,,,,,,,,Red Lake Falls Pluton,,Granodiorite,,,,,,,,
NW-3 542-543,NW-3,NW-3 542-543,,,542,meters,,,,Kittson,MN,48.92,-96.91,,,,2011,Drill Hole,Cylinder,20.3,0.96,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.06,,,,,,,,,,,,,Roseau River Batholith,,Gneissic Tonalite,,,,,,,,
NW-4B 344-345,NW-4B,NW-4B 344-345,,,344,meters,,,,Kittson,MN,48.78,-96.49,,,,2011,Drill Hole,Cylinder,21.12,1.165,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.51,,,,,,,,,,,,,Unnamed,,Granodiorite,,,,,,,,
NW-6 356-357.5,NW-6,NW-6 356-357.5,,,356,meters,,,,Roseau,MN,48.72,-96.38,,,,2011,Drill Hole,Cylinder,19.74,1.32,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.56,,,,,,,,,,,,,Unnamed,,Hornblende Diorite,,,,,,,,
NW-7 397.5-399,NW-7,NW-7 397.5-399,,,397.5,meters,,,,Kittson,MN,48.59,-96.47,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.64,,,,,,,,,,,,,Unnamed,,Granodiorite,,,,,,,,
NW-7 400.5-401.25,NW-7,NW-7 400.5-401.25,,,400.5,meters,,,,Kittson,MN,48.59,-96.47,,,,2011,Drill Hole,Cylinder,15.55,0.891,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.56,,,,,,,,,,,,,Unnamed,,Pegmatite in Granodiorite,,,,,,,,
P-11 138-139,P-11,P-11 138-139,,,138,meters,,,,Morrison,MN,46.14,-93.98,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.35,,,,,,,,,,,,,Unnamed,,Hornblende Biotite Gneiss,,,,,,,,
P-12 231-232,P-12,P-12 231-232,,,231,meters,,,,Morrison,MN,46.14,-93.96,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.39,,,,,,,,,,,,,Unnamed,,Biotite Gneiss,,,,,,,,
PL-1 389-400,PL-1,PL-1 389-400,,,389,meters,,,,Kittson,MN,48.96,-96.48,,,,2011,Drill Hole,Cylinder,15.54,0.973,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.31,,,,,,,,,,,,,Roseau River Batholith,,Monzodiorite,,,,,,,,
PL-3 171-173,PL-3,PL-3 171-173,,,171,meters,,,,Marshall,MN,48.21,-95.64,,,,2011,Drill Hole,Cylinder,14.14,0.813,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.68,,,,,,,,,,,,,Grygla Pluton,,Coarse Grained Hornblende Granite,,,,,,,,
PL-3 173.5-175,PL-3,PL-3 173.5-175,,,173.5,meters,,,,Marshall,MN,48.21,-95.64,,,,2011,Drill Hole,Cylinder,17,0.974,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.76,,,,,,,,,,,,,Grygla Pluton,,Medium Grained Hornblende Granite,,,,,,,,
PLC-1 93-95,PLC-1,PLC-1 93-95,,,93,meters,,,,St. Louis,MN,48.3,-93.04,,,,2011,Drill Hole,Cylinder,12.1,0.829,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.74,,,,,,,,,,,,,Vermillion Massif,,Weakly Foliated Granite,,,,,,,,
RL-1 833.5-835,RL-1,RL-1 833.5-835,,,833.5,meters,,,,Crow Wing,MN,46.65,-93.84,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.75,,,,,,,,,,,,,Unnamed,,Tonalite,,,,,,,,
RP-1,Outcrop,RP-1,,,0,meters,,,,Lake of the Woods,MN,48.9,-95.08,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.09,,,,,,,,,,,,,WG Unit (Day),,Granodiorite,,,,,,,,
RRVD-23 415-418,RRVD-23,RRVD-23 415-418,,,415,meters,,,,Wilkin,MN,46.19,-96.5,,,,2011,Drill Hole,Cylinder,18.95,1.228,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.47,,,,,,,,,,,,,Unnamed,,Granodiorite,,,,,,,,
RRVD-26 391-394,RRVD-26,RRVD-26 391-394,,,391,meters,,,,Norman,MN,47.38,-96.64,,,,2011,Drill Hole,Cylinder,18.77,1.35,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.22,,,,,,,,,,,,,Unnamed,,Biotite Granite,,,,,,,,
RRVD-27 218-321,RRVD-27,RRVD-27 218-321,,,218,meters,,,,Polk,MN,48,-96.9,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.62,,,,,,,,,,,,,Snake River Batholith,,Tonalite-Granodiorite,,,,,,,,
RRVD-30 374-377,RRVD-30,RRVD-30 374-377,,,374,meters,,,,Marshall,MN,48.49,-96.69,,,,2011,Drill Hole,Cylinder,12,0.936,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.82,,,,,,,,,,,,,Florian Batholith,,Foliate Granodiorite,,,,,,,,
SC1A,Outcrop,SC1A,,,0,meters,,,,Stearns,MN,45.54,-94.25,,,,2011,Outcrop,Cylinder,19.74,1.865,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.65,,,,,,,,,,,,,Unnamed,,Granitic,,,,,,,,
SC1B,Outcrop,SC1B,,,0,meters,,,,Stearns,MN,45.54,-94.25,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.65,,,,,,,,,,,,,Unnamed,,Granitic,,,,,,,,
SDMIL-A,Outcrop,SDMIL-A,,,0,meters,,,,Grant (SD),MN,45.21,-96.52,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.6,,,,,,,,,,,,,Unnamed,,Granitic,,,,,,,,
SDMIL-B,Outcrop,SDMIL-B,,,0,meters,,,,Grant (SD),MN,45.21,-96.52,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.6,,,,,,,,,,,,,Unnamed,,Granitic,,,,,,,,
SJ-1 155-156,SJ-1,SJ-1 155-156,,,155,meters,,,,Stearns,MN,45.53,-94.28,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.79,,,,,,,,,,,,,Rockville Granite,,Granite (weathered),,,,,,,,
SK-1 1098-1101,SK-1,SK-1 1098-1101,,,1098,meters,,,,Nobles,MN,43.79,-95.84,,,,2011,Drill Hole,Cylinder,20.28,2.095,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.47,,,,,,,,,,,,,Unnamed,,Diorite,,,,,,,,
SQ-1 283-288,SQ-1,SQ-1 283-288,,,283,meters,,,,Brown,MN,44.24,-94.61,,,,2011,Drill Hole,Cylinder,15.6,1.634,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.12,,,,,,,,,,,,,Unnamed,,Weakly Foliated Hornblende Granite,,,,,,,,
SQ-11 677-681,SQ-11,SQ-11 677-681,,,677,meters,,,,Cottonwood,MN,43.92,-95.34,,,,2011,Drill Hole,Cylinder,15.39,2.093,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.53,,,,,,,,,,,,,Jeffers Block,,Granitic Gneiss,,,,,,,,
SQ-13 220-225,SQ-13,SQ-13 220-225,,,220,meters,,,,Watonwan,MN,44.06,-94.77,,,,2011,Drill Hole,Cylinder,11.16,2.031,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.69,,,,,,,,,,,,,Unnamed,,Foliated Hornblende Granite,,,,,,,,
SQ-3A 434-439,SQ-3A,SQ-3A 434-439,,,434,meters,,,,Cottonwood,MN,44.11,-94.94,,,,2011,Drill Hole,Cylinder,26.36,2.482,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.42,,,,,,,,,,,,,Unnamed,,Granitic Gneiss,,,,,,,,
SQ-4 653-658,SQ-4,SQ-4 653-658,,,653,meters,,,,Jackson,MN,43.82,-95.19,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.51,,,,,,,,,,,,,Jeffers Block,,Granitic Gneiss,,,,,,,,
SQ-7 1097-1102,SQ-7,SQ-7 1097-1102,,,1097,meters,,,,Murray,MN,43.85,-95.99,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,,,,,,,,,,,,,,Unnamed,,Granitic Gneiss,,,,,,,,
STAR 2 222-225,STAR 2,STAR 2 222-225,,,222,meters,,,,Marshall,MN,48.28,-95.68,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.37,,,,,,,,,,,,,Grygla Pluton,,Tonalite-Granodiorite,,,,,,,,
Star-1 567-570.5,Star-1,Star-1 567-570.5,,,567,meters,,,,Marshall,MN,48.28,-95.95,,,,2011,Drill Hole,Cylinder,16.66,1.893,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.37,,,,,,,,,,,,,,,Foliated Hornblende Monzonite,,,,,,,,
STG-1,Outcrop,STG-1,,,0,meters,,,,St. Louis,MN,47.78,-92.83,,,,2011,Outcrop,Cylinder,19.02,1.47,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.11,,,,,,,,,,,,,Sturgeon Granite,,Biotite Granite,,,,,,,,
VM-1,Outcrop,VM-1,,,0,meters,,,,St. Louis,MN,47.89,-92.19,,,,2011,Outcrop,Cylinder,13.68,1.169,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.42,,,,,,,,,,,,,Vermillion Massif,,Fine Grained Diorite,,,,,,,,
VM-10,Outcrop,VM-10,,,0,meters,,,,St. Louis,MN,48.39,-92.92,,,,2011,Outcrop,Cylinder,14.17,1.482,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.39,,,,,,,,,,,,,Vermillion Massif,,Pink Granite,,,,,,,,
VM-11,Outcrop,VM-11,,,0,meters,,,,St. Louis,MN,48.44,-93.05,,,,2011,Outcrop,Cylinder,23.48,1.761,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.87,,,,,,,,,,,,,Kenora-Kabatogama Dike Swarm,,Gabbro,,,,,,,,
VM-2,Outcrop,VM-2,,,0,meters,,,,St. Louis,MN,48,-92.83,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.84,,,,,,,,,,,,,Vermillion Massif,,Granitic Migmatite,,,,,,,,
VM-3,Outcrop,VM-3,,,0,meters,,,,St. Louis,MN,48.04,-92.97,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.41,,,,,,,,,,,,,Vermillion Massif,,Lac La Croix Granite,,,,,,,,
VM-4a,Outcrop,VM-4a,,,0,meters,,,,St. Louis,MN,48.24,-92.48,,,,2011,Outcrop,Cylinder,19.22,1.728,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.41,,,,,,,,,,,,,Vermillion Massif,,Amphibolite,,,,,,,,
VM-4b,Outcrop,VM-4b,,,0,meters,,,,St. Louis,MN,48.24,-92.48,,,,2011,Outcrop,Cylinder,14.82,0.95,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.23,,,,,,,,,,,,,Vermillion Massif,,Granite,,,,,,,,
VM-5,Outcrop,VM-5,,,0,meters,,,,St. Louis,MN,48.17,-92.52,,,,2011,Outcrop,Cylinder,19.23,1.672,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.41,,,,,,,,,,,,,Vermillion Massif,,Granite,,,,,,,,
VM-6a,Outcrop,VM-6a,,,0,meters,,,,St. Louis,MN,48.07,-92.67,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.97,,,,,,,,,,,,,Vermillion Massif,,Granite,,,,,,,,
VM-6b,Outcrop,VM-6b,,,0,meters,,,,St. Louis,MN,48.07,-92.67,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.95,,,,,,,,,,,,,Vermillion Massif,,Schist,,,,,,,,
VM-7a,Outcrop,VM-7a,,,0,meters,,,,St. Louis,MN,48.19,-92.89,,,,2011,Outcrop,Cylinder,18.01,1.361,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.95,,,,,,,,,,,,,Vermillion Massif,,Granite,,,,,,,,
VM-7b,Outcrop,VM-7b,,,0,meters,,,,St. Louis,MN,48.19,-92.89,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.48,,,,,,,,,,,,,Vermillion Massif,,Schist,,,,,,,,
VM-8,Outcrop,VM-8,,,0,meters,,,,St. Louis,MN,48.34,-92.96,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.14,,,,,,,,,,,,,Vermillion Massif,,Granite,,,,,,,,
VM-9,Outcrop,VM-9,,,0,meters,,,,St. Louis,MN,48.4,-92.82,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.5,,,,,,,,,,,,,Vermillion Massif,,Pink Gneissic Granite,,,,,,,,
WMP-1,Outcrop,WMP-1,,,0,meters,,,,St. Louis,MN,47.95,-92.66,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.63,,,,,,,,,,,,,Wakem Up Pluton,,Schistose Diorite,,,,,,,,
YGH-1 540-542,YGH-1,YGH-1 540-542,,,540,meters,,,,Roseau,MN,48.81,-96.34,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.45,,,,,,,,,,,,,Unnamed,,Diorite,,,,,,,,
YGH-2 591.5-593.5,YGH-2,YGH-2 591.5-593.5,,,591.5,meters,,,,Roseau,MN,48.81,-96.31,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,,,,,,,,,,,,,,Unnamed,,Diorite,,,,,,,,
